"","Rubrica","UF","Data","Valor"
"1","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-01-31",74738207
"2","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-01-31",10340385
"3","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-01-31",12721271
"4","Total-Receitas","AC","2008-01-31",262510784
"5","Total-Despesas","AC","2008-01-31",147505489
"6","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-02-29",75544155
"7","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-02-29",11877490
"8","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-02-29",12608299
"9","Total-Receitas","AC","2008-02-29",241569943
"10","Total-Despesas","AC","2008-02-29",162170570
"11","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-03-31",79214619
"12","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-03-31",10035414
"13","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-03-31",13853474
"14","Total-Receitas","AC","2008-03-31",206159850
"15","Total-Despesas","AC","2008-03-31",168919381
"16","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-04-30",78354795
"17","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-04-30",13259784
"18","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-04-30",12704303
"19","Total-Receitas","AC","2008-04-30",207612669
"20","Total-Despesas","AC","2008-04-30",177880523
"21","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-05-31",78967899
"22","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-05-31",12309483
"23","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-05-31",14540837
"24","Total-Receitas","AC","2008-05-31",218082559
"25","Total-Despesas","AC","2008-05-31",172140600
"26","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-06-30",83362984
"27","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-06-30",11689655
"28","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-06-30",12819470
"29","Total-Receitas","AC","2008-06-30",214190405
"30","Total-Despesas","AC","2008-06-30",185841205
"31","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-07-31",80813710
"32","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-07-31",12061419
"33","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-07-31",10921961
"34","Total-Receitas","AC","2008-07-31",218358016
"35","Total-Despesas","AC","2008-07-31",215001062
"36","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-08-31",88547720
"37","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-08-31",12977121
"38","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-08-31",17623320
"39","Total-Receitas","AC","2008-08-31",238311541
"40","Total-Despesas","AC","2008-08-31",235998739
"41","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-09-30",83064034
"42","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-09-30",12054175
